company,market,market_ru,about,description,earnings,stage,inter_track,company_link,sbis_link
naser light,proptech,технология собственности,llac лампа. новый вид лампы с расходами в 2 раза ниже,llac лампа. новый вид лампы с расходами в 2 раза ниже,до 100 млн.руб,pre-seed,False,,
arctic,greentech,зеленые технологии,баннеры на основе солнечной энергии,баннеры на основе солнечной энергии,до 100 млн.руб,pre-seed,False,,
smart wi-fi,advertising & marketing,реклама и маркетинг,функционал для точечного пуш-маркетинга в ритейле,функционал для точечного пуш-маркетинга в ритейле,до 100 млн.руб,pre-seed,False,,
реалист,advertising & marketing,реклама и маркетинг,,,до 100 млн.руб,pre-seed,False,,
varezhka,advertising & marketing,реклама и маркетинг,автопостинг в социальных сетях,автопостинг в социальных сетях,до 100 млн.руб,pre-seed,False,,
swip,advertising & marketing,реклама и маркетинг,,,до 100 млн.руб,pre-seed,False,,
delegator24,worktech,рабочая технология,удаленные сотрудники по подписке,удаленные сотрудники по подписке,до 100 млн.руб,pre-seed,False,,
anywash,proptech,технология собственности,обслуживание корпоративных автомобилей в одном сервисе,обслуживание корпоративных автомобилей в одном сервисе,до 100 млн.руб,pre-seed,False,,
inspectorcloud,retailtech,розничная торговля,система распознавания товаров - для контроля полевого персонала,система распознавания товаров - для контроля полевого персонала,до 100 млн.руб,pre-seed,False,,
bosskids,edtech,образовательные технологии,онлайн-школа финансвой грамотности для дейтей 3-17 лет,онлайн-школа финансвой грамотности для дейтей 3-17 лет,до 100 млн.руб,pre-seed,False,,
logiclike,edtech,образовательные технологии,онлайн-школа дистанционного образования для детей,онлайн-школа дистанционного образования для детей,до 100 млн.руб,pre-seed,False,,
mindset,edtech,образовательные технологии,онлайн-школа математики,онлайн-школа математики,до 100 млн.руб,pre-seed,False,,
onollo,e-commerce,электронная коммерция,сервис управления социальными сетями для интернет-магазинов,сервис управления социальными сетями для интернет-магазинов,до 100 млн.руб,pre-seed,False,,
loqstoq,e-commerce,электронная коммерция,платформа по управлению рекламой для продавцов на маркетплейсах.,платформа по управлению рекламой для продавцов на маркетплейсах.,до 100 млн.руб,pre-seed,False,,
yous.ai,ai,искусственный интеллект,веб-приложение для аудио/видео звонков со встроенным переводчиком на базе ai.,веб-приложение для аудио/видео звонков со встроенным переводчиком на базе ai.,до 100 млн.руб,pre-seed,False,,
appstorespy,business intelligence,бизнес аналитика,сервис для аналитики мобильных приложений,сервис для аналитики мобильных приложений,до 100 млн.руб,pre-seed,False,,
zipsale,e-commerce,электронная коммерция,сервис для автоматизации продаж секондхенда на маркетплейсах,сервис для автоматизации продаж секондхенда на маркетплейсах,до 100 млн.руб,pre-seed,False,,
carusel,transport & logistics,транспорт и логистика,сервис кикшеринга,сервис кикшеринга,до 100 млн.руб,pre-seed,False,,
marketguru,e-commerce,электронная коммерция,сервис аналитики wb/ozon,сервис аналитики wb/ozon,до 100 млн.руб,pre-seed,False,,
karpov courses,edtech,образовательные технологии,онлайн-школа хард-скиллов,онлайн-школа хард-скиллов,до 100 млн.руб,pre-seed,False,,
joys,fintech,финансовые технологии,сервис для оплаты по qr-кодам,сервис для оплаты по qr-кодам,до 100 млн.руб,pre-seed,False,,
everytale,media & entertainment,СМИ и развлечения,сервис для проведения онлайн-мероприятий,сервис для проведения онлайн-мероприятий,до 100 млн.руб,pre-seed,False,,
imin,advertising & marketing,реклама и маркетинг,конструктор видеоконтента для социальных сетей,конструктор видеоконтента для социальных сетей,до 100 млн.руб,pre-seed,False,,
ars smart robotics,foodtech,пищевые технологии,система автоматизации для дарксторов,система автоматизации для дарксторов,до 100 млн.руб,pre-seed,False,,
proaction,hrtech,технология найма людей,онлайн-сервис микротестирования кандидатов и сотрудников,онлайн-сервис микротестирования кандидатов и сотрудников,до 100 млн.руб,pre-seed,False,,
hcm by talenttech,transport & logistics,транспорт и логистика,,"экосистема для управления персоналом и развития талантов. интеллектуальная human capital management (hcm) платформа от talenttech поможет выявить сильные стороны сотрудников и подскажет, какие таланты стоит развивать, чтобы расти быстрее и работать эффективнее.",до 100 млн.руб,pre-seed,False,https://talenttech.ru/hcm_by_talenttech/,
сст,transport & logistics,транспорт и логистика,,"sst аса - scada-система с удалённым softlogic программированием контроллеров, industrial iot и предиктивной аналитикой на основе машинного обученияпроект позволяет прогнозировать и предупреждать возникновение аварийных ситуаций, обеспечение быстрой и адекватной реакции на возникшие аварийные ситуации",до 100 млн.руб,pre-seed,False,https://sst.ru.com/,
нвиай ресерч,transport & logistics,транспорт и логистика,,"система искусственного зрительного интеллекта для предупреждения нарушений и контроля безопасности на крупных предприятиях. в проекте разрабатывается комплекс продуктов, автоматизирующих контроль промышленной безопасности и безопасности труда. в него входят системы интеллектуальной видеоаналитики, нейросетевого распознавания идентификаторов и понимания документов, прогнозирования аварийных ситуаций, интегрируемые в единый ситуационно-аналитический центр.",до 100 млн.руб,pre-seed,False,https://nvi-solutions.ru/,
метрика,transport & logistics,транспорт и логистика,,"компания “метрика”  заявила о себе на рынке систем спутникового мониторинга транспорта в 2010 году. команда профессиональных it-программистов и разработчиков совместно с группой инженеров радиоэлектронного производства предложила эффективную и доступную по цене систему спутникового мониторинга.было организовано собственное производство оборудования, создана служба технической поддержки, которая на сегодняшний день обеспечивает высокий уровень предоставляемого сервиса.",до 100 млн.руб,pre-seed,False,https://monpro.org/o-kompanii,
акцептум,transport & logistics,транспорт и логистика,,"eva pro - новое поколение аппаратных устройств и самообучающегося по для увеличения эффективности эксплуатации тс и предвидения поломок и остановки тс. система основывается на сборе информации от штатных датчиков на тс, модулей, установленных в колесах, и стационарных систем инспекции. анализ данных происходит в соответствии с рекомендациями изготовителей тс, что позволит парку максимально эффективно использовать тс, сократив себестоимость эксплуатации тс, а также его воздействие на экологию.",до 100 млн.руб,pre-seed,False,https://tpms-eva.ru/,
evocargo,transport & logistics,транспорт и логистика,,компания разрабатывает и внедряет логистические вертикально-интегрированные сервисы с использованием электрического беспилотного транспорта собственного производства. разработан электрический автономный грузовик с возможностью заправки водородом.,до 100 млн.руб,pre-seed,False,https://evocargo.com/,
csira self-driving platform,transport & logistics,транспорт и логистика,,"csira vision sdp - интеллектуальный модуль, который анализирует с помощью видеокамер состояние водителя, окружающую дорожную обстановку и оповещает об опасной ситуации. сердцем системы является отечественная разработка на основе нейронных сетей и алгоритмов машинного обучения, сочетающая инновационный подход и современный технологии.применение системы предотвращения дтп csira vision sdp позволит сократить количество ремонтов транспортных средств, их простоя, повысить дисциплину и безопасность водителей, и, как следствие, оптимизировать расходы, связанные с эксплуатацией транспортных средств.",до 100 млн.руб,pre-seed,False,https://csira.ru/,
antor,transport & logistics,транспорт и логистика,,"онлайн-платформа для помощи предприятиям среднего и крупного бизнеса эффективно доставлять товары покупателям, контролировать транспортный парк, управлять торговыми представителями и другими мобильными сотрудниками: водителями, курьерами, сервисными инженерами. antor teammaster™ передает оптимизированные планы доставки на мобильные устройства исполнителей, позволяя им при необходимости корректировать маршруты с учетом текущей загруженности дорог.",до 100 млн.руб,pre-seed,False,https://www.antor.ru/about/,
c-cars,transport & logistics,транспорт и логистика,,"it-компания с фокусом на решения для автомобильной отрасли. разрабатывает информационную систему, которая позволит объединить всех участников автомобильного рынка и всех отраслей, связанных с автомобилями и другими транспортными средствами, осуществлять обмен данными между ними. единый инструмент для управления автопарком, связи с клиентами, обработки запросов.",до 100 млн.руб,pre-seed,False,https://c-cars.tech/,
skif.pro,transport & logistics,транспорт и логистика,,"платформа для мониторинга, диспетчеризации и контроля транспорта.",до 100 млн.руб,pre-seed,False,https://skif.pro/,
"группа т-1, ао",transport & logistics,транспорт и логистика,,системы мониторинга и управления стационарными и подвижными объектами. позволяют создать контролируемый центр движения автомобилей. представляют интегратор нескольких систем в одну с предоставлением аналитики.,до 100 млн.руб,pre-seed,False,https://www.t1-group.ru/,
иторум эм ар,transport & logistics,транспорт и логистика,,платформа совместной работы с техническим оборудованием. узнать подробнееitorum mr для работы технических специалистов на производстве и удаленных экспертов через очки дополненной реальности.,до 100 млн.руб,pre-seed,False,https://itorummr.ru/,
ubi technologies,transport & logistics,транспорт и логистика,,"разработчик решения, которое позволяет анализировать и оценивать качество вождения и вероятность возникновения дтп, а в момент аварии моментально узнавать о повреждениях.",до 100 млн.руб,pre-seed,False,https://ubitec.ru/,
линза,transport & logistics,транспорт и логистика,,видео-регистратор с голосовым помощником. способен опознать и маркировать время аварии. способен опознать столкновения автомобиля и предупредить водителя.,до 100 млн.руб,pre-seed,False,https://notanotherone.com/en/#stationary-feedback,
даталитика,transport & logistics,транспорт и логистика,,"datalytica — это команда профессионалов в области аналитики, больших данных, разработки программного обеспечения, машинного обучения и искусственного интеллекта.каждый день мы решаем бизнес-задачи известных брендов и крупных международных компаний по повышению продаж, сокращению издержек и управлению рисками.компания поставляет продукт ""предективная аналитика поломки техники"". предиктивная модель отвечает на два вопроса: что сломается и когда сломается. прогнозирование отказов оборудования осуществляется как на основе накопленных данных, так и данных, поступающих в режиме реального времени.",до 100 млн.руб,pre-seed,False,https://datalytica.ru/fault_prediction,
проект а,transport & logistics,транспорт и логистика,,"компания занимается разработкой оборудования и программного обеспечения для автоматизации, мониторинга и увеличения эффективности транспорта. решения компании позволяют контролировать местоположение транспорта, отслеживать его состояние, управлять логистикой и регламентным обслуживанием, устанавливать системы видеорегистрации и видеоаналитики.",до 100 млн.руб,pre-seed,False,https://prk-a.ru/,
luxms bi,transport & logistics,транспорт и логистика,,"решение для бизнес-анализа, которое учитывает специфику транспортной отрасли и обеспечивает многофакторный анализ исполнения планов для географически распределённых предприятий, ситуационный мониторинг и контроль для оперативного управления, цифровизацию системы управления, перевод в полный онлайн режим.",до 100 млн.руб,pre-seed,False,https://luxmsbi.com/resheniya/transport/,
дживиэй,transport & logistics,транспорт и логистика,,"продукт - библиотека для создания lifestyle приложений для носимых устройств на основе нейросетевых моделей машинного обучения. целевой сегмент - крупные технологические компании, производители носимых устройств. модель коммерциализации - продажа интеллектуальной собственности и сервисная модель по ее адаптации под задачи заказчика. разработана система диагностики и предсказания поломки транспортного средства по звуку с использованием нейронных сетей и предективной аналитики.",до 100 млн.руб,pre-seed,False,https://mil-team.ru/product/neurha,
evm pro,transport & logistics,транспорт и логистика,,"создали прототип грузоэлектромобиля. бортовая электроника собственного производства. проведя глубинное исследование рынка внутригородских перевозок, уже в феврале 2022 г. компания представила первый российский электрогрузомобиль evm pro. этот компактный elcv, выполненный на базе шасси уаз профи, - соответствует самым актуальным запросам рынка.",до 100 млн.руб,pre-seed,False,https://evm.eco/,
из-картэкс имени п.г.коробкова,transport & logistics,транспорт и логистика,,"первый электрический работающий эсковатор. экскаватор стал первой электрической машиной отечественного производства в парке горной техники гока, что важно в условиях жестких экономических санкций.",до 100 млн.руб,pre-seed,False,ссылка,
реалтрак технолоджис,transport & logistics,транспорт и логистика,,"realtrac - это система промышленной безопасности в основе которой лежит позиционирование объектов в пространстве (человек, транспорт, груз) с помощью локальной системы позиционирования собственной разработки. разработанная технология и запатентованный метод определения местоположения объекта позволяют определить местоположение объекта, оснащенного радиоузлом (меткой) с точностью до 1 метра и менее. это позволяет определять местоположение персонала, техники и других объектов, оснащенных метками в шахтах, карьерах, на складах, в производственных цехах",до 100 млн.руб,pre-seed,False,https://real-trac.com/ru/,
фк системс,transport & logistics,транспорт и логистика,,"периферической гемодинамики, регистрируемой с поверхности кожи лица, стандартной (компьютер, планшет, смартфон и др.) пользовательской веб-камерой. система решает задачу бесконтактной диагностики состояния человека, его психофизиологических характеристик и контроля за жизненно важными показателями для медицинских консультаций и динамического наблюдения.в основе метода телемониторинга лежит анализ изменений глубины цвета по каждому пикселю изображения лица в зависимости от интенсивности кровотока в сосудах кожи. по полученной картине периферической гемодинамики вычисляются показатели функционального состояния организма: чсс, давление, дыхание.ведутся работы по созданию платформы цифровой интерактивной медицины, основанной на технологиях дистанционного бесконтактного мониторинга. создан апк мониторинга в режиме реального времени психофизиологического состояния работника (водителя, оператора).",до 100 млн.руб,pre-seed,False,https://navigator.sk.ru/orn/1122599,
фор,transport & logistics,транспорт и логистика,,"система «флоуком» – это облачное программное обеспечение, разработанное для пользователей, которым важно поддерживать эксплуатируемое оборудование, инженерные системы на надлежащем уровне (отсутствие отказов, поломок) с максимальной эффективностью (минимизация трудовых ресурсов, запчастей, замен оборудования).",до 100 млн.руб,pre-seed,False,https://robotoir.ru/,
ситипоинт,transport & logistics,транспорт и логистика,,"инструменты citypoint проконтролируют и проинформируют о нецелевом использовании техники, о долгой работе на холостом ходу, превышении допустимых норм расхода топлива и подозрительных действиях сотрудников.  сводная аналитика и специализированные отчёты фиксируют фактическое время работы механизмов и агрегатов техники и расход топлива на объектах. полученные данные помогают оценить эффективность использования текущих ресурсов и сформировать грамотную стратегию по развитию предприятия.",до 100 млн.руб,pre-seed,False,https://citypoint.ru/solutions/special-machinery-control/,
пайм,transport & logistics,транспорт и логистика,,"pime разрабатывает средства отображения информации в режиме дополненной реальности.мы разработали умную каску, которая может быть использована для удаленной связи с сотрудниками, контроля их деятельности, а также фиксации процессов. разработали ar модули, которыми дооснащается умная каска для отображения информации в режиме дополненной реальности.",до 100 млн.руб,pre-seed,False,https://pime.tech/,
филдбит рус,transport & logistics,транспорт и логистика,,"ieldbit – промышленная платформа класса «цифровой рабочий», обеспечивающая эффективное выполнение и контроль работ по диагностике,обслуживанию и ремонтам в дополненной реальности и накопление практических цифровых компетенций. на выполненных заказах измерены положительные показатели снижения времени простоя оборудования, минимизации производственных потерь, выездов и транспортных расходов. основная цель – усовершенствование программного обеспечения и его практическое применение на производствах",до 100 млн.руб,pre-seed,False,https://navigator.sk.ru/orn/1122563,
trafficdata,transport & logistics,транспорт и логистика,,"компания trafficdata специализируется на разработке программного обеспечения для интеллектуальных транспортных систем на основе технологий видеоаналитики с глубоким обучением.ответ команды о полезности для urals:из выпадающего списка у нас это ""проектирование и создание ""цифровой местности"" для проверки требований техники и сотрудники с возможностью справится  с поставленной задачей"". что мы можем предложить: умный паркинг, отслеживание маршрутов транспортных средств по государственному регистрационному  знаку.",до 100 млн.руб,pre-seed,False,https://trafficdata.ru/,
аск-памм,transport & logistics,транспорт и логистика,,смарт-платформа предупреждения неисправностей и оценки технического состояния транспортных средств. в усгули компании входит:предупреждения неисправностей агрегатов;повышение эффективности эксплуатации техники;оценка уровня остаточного ресурса техники.,до 100 млн.руб,pre-seed,False,https://ask-glonass.ru/pamm,
carvis,transport & logistics,транспорт и логистика,,компания разработала уникальную систему мониторинга состояния водителя и дорожной обстановки dsm-adas и в данный момент активно её коммерциализирует на рынке.,до 100 млн.руб,pre-seed,False,https://carvis.org/publikacii/sistema-monitoringa-sostoyaniya-voditelya-i-dorozhnoj-obstanovki-dsm-adas-2,
фгуп «нами»,transport & logistics,транспорт и логистика,,"тестирует и выполняет заказы на ряд продуктов: беспилотные легковые автомобили, беспилотные грузовики, грузовики на водородном топливе.",до 100 млн.руб,pre-seed,False,,
навител мониторинг,transport & logistics,транспорт и логистика,,"навител мониторинг — многофункциональная интеллектуальная система мониторинга транспорта и других подвижных объектов. система позволяет в онлайн-режиме определять точные координаты местоположения автомобиля, маршрут его передвижения и другие важные параметры, такие как пробег, скорость, расход топлива и направление движения.",до 100 млн.руб,pre-seed,False,https://navitel.ru/ru/monitoring,
гк стройтехмаш,transport & logistics,транспорт и логистика,,"произвосдвто контейнерной и модульной азс, также присутсвуют безоператорные азс.",до 100 млн.руб,pre-seed,False,https://azs-mini.ru/,
гарвекс,transport & logistics,транспорт и логистика,,"модульная азс или топливозаправочный пункт — это установка, которая позволяет заправлять технику и хранить необходимый запас топлива. модульные азс позволяют компаниям любого уровня лучше контролировать использование топлива, повысить эффективность автопарка и приблизить место заправки к месту использования техники.модульная азс (мазс) применяется на предприятиях, строительных площадках, там, где есть необходимость в автономной заправке техники с соблюдением всех необходимых норм и правил.",до 100 млн.руб,pre-seed,False,https://garveks.ru/production/fuel-modules/open-mazs,
smartmaintenance,transport & logistics,транспорт и логистика,,"решение основанное на машинном обучении  для мониторинга и предиктивного анализа технического состояния оборудования, оптимизации процессов ремонта и обслуживания.",до 100 млн.руб,pre-seed,False,https://ctrl2go.solutions/solutions/smart-maintenance/,
veeroute,transport & logistics,транспорт и логистика,,veeroute разрабатывает программный софт для решения сложных оптимизационных задач в логистике. в основе технологии лежат алгоритмы оптимизации с управляющими элементами ai (искусственный интеллект) и гибкая модульная структура данных.,до 100 млн.руб,pre-seed,False,https://veeroute.com/challenges/long-haul-delivery-and-multimodal-transportation/,
агроглобал телеком,transport & logistics,транспорт и логистика,,"разработка бюджетного устройства спутниковой системы навигации и определения географических координат объектов и параллельного движения, с возможностью использования как базовой станции для работы в местах, где нет покрытия gsm-сетей, так и в виде ровера для точного земледелия, автоматического подруливания и создания беспилотных сельхозмашин. создан прототип антенны, разрабатывается мобильное приложение для удаленной настройки конфигурации, имеются патенты на изобретение, пром. образец и по.синергия с компанией следущая: компания создала не беспилотную агро-технику, а переформатировала уже существующую. с разработанной системой и опытом ее настройки способна переформатировать и производственную тезхнику для перемещения по небольшой территории.",до 100 млн.руб,pre-seed,False,https://www.agroglobal.pro/,
айронсистемс,transport & logistics,транспорт и логистика,,"автоматическая топливораздаточная колонка с терминалом самообслуживания может быть одностороннего (в случае, если терминал находится только с одной стороны колонки), или двустороннего исполнения. для отображения информации водителю применяется жк-дисплей. заправка автомобиля проводится водителем самостоятельно, в соответствии с назначенным ему персональным лимитом, или лимитом, заданным для его автомобиля (в том случае, если единицей учета выступает техника, а не водители). идентификация водителя или его автомобиля при заправке происходит при помощи бесконтактной пластиковой карты.",до 100 млн.руб,pre-seed,False,https://iron-systems.ru/avtomaticheskaya-vedomstvennaya-azs/,
аркан,transport & logistics,транспорт и логистика,,"в базовой комплектации уже предусмотрен контроль всех основных показателей:местоположение, пробеги, маршруты, въезд/выезд из заданной геозоныданные о стоянках, движении и простое на холостом ходуинформация о межсервисных интервалах, контроль моточасов удаленная блокировка двигателядатчики уровня топлива: контроль заправок и сливовданные по транспортному средству с детализацией по водителям с опцией «идентификация водителя»",до 100 млн.руб,pre-seed,False,https://arkan.ru/msk/products/monitoring-transporta/,
айфлаксибл,transport & logistics,транспорт и логистика,,glazz - проект российской автономной гарнитуры дополненной реальности для открытых пространств (с динамическим затемнением) с фокусом на использование в корпоративной среде и промышленности.решаемые проблемы:- удалённого управления оборудованием- обучения персонала- ассистирования в реальном времени- совместной работы над цифровыми двойниками оборудования на цифровизированных производственных и промышленных предприятиях.,до 100 млн.руб,pre-seed,False,http://glazz.tech/,
цифровой двойник,transport & logistics,транспорт и логистика,,"компания фора роботикс на протяжении последних 3 лет специализируется на разработке цифровых двойников и bim-моделей в промышленном сегменте. за это время успели посотрудничать с предприятиями тмх холдинга и роскосмоса (всего 12 заказчиков). в продуктовую линейку vr входят услуги по: создание полной трехмерной модели  действующего предприятия, проектирование вновь создаваемых производственных объектов, обратный инжинирин.",до 100 млн.руб,pre-seed,False,https://www.forarobotics.ru/,
аритмос,transport & logistics,транспорт и логистика,,"платформа для определения максимально эффективного графика для персонала. система создает миллионы версий рабочих графиков для представления лучшего результата, принимая во внимание:- все созданные расписания соответствуют «жестким» параметрам (если так теоретически возможно);- все созданные расписания максимально приближены к «мягким» параметрам.каждый созданный график получает рейтинг, на основании выполнения «жестких» параметров и большинству «мягких». максимальный рейтинг - это оптимальное расписание.процесс оптимизации для 20 сотрудников на один месяц занимает примерно 30 секунд.",до 100 млн.руб,pre-seed,False,https://aritmos.ru/,
прагма,transport & logistics,транспорт и логистика,,"ооо «прагма» один из ведущих разработчиков ит-решений в области управления инвестиционно-строительными проектами. по компании позволяет его пользователям осуществлять оперативное управление рисками на всех этапах строительства, контролировать текущее состояние и определять отклонения/опережение от планируемых сроков, следить за качеством объекта строительства, осуществлять контроль за исполнением бюджета и его анализ.",до 100 млн.руб,pre-seed,False,https://pragma.info/,
gtlogistics,transport & logistics,транспорт и логистика,,"gtlogistics на рынке автоматизации складской и транспортной логистики разрабатывает и внедряет 3 программных продукта. gtstock - управление складом (wms), gtroute - автопостроение маршрутов и gtdrive - контроль перевозок (tms).особый интерес представляет алгоритм построения маршрутов, это уникальное решение, над которым работали профессора математики и шахматисты. он позволяет строить маршруты эффективнее и быстрее логистов и может внедрятся как отдельный продукт gtalgo.",до 100 млн.руб,pre-seed,False,https://gt-logistics.ru/,
визорлабс,transport & logistics,транспорт и логистика,,"платформа видеоаналитики visorlabs позволяет создать автоматизированную систему контроля соблюдения требований техники безопасности (ношение сиз, соблюдение правил проведения работ) и предотвращения случаев производственного травматизма. экономический эффект от внедрения системы состоит из: снижения расходов на контроль пб и тб при повышении эффективности контроля; сокращения расходов на штрафы и компенсации по травматизму; сокращению потерь из-за ремонтов и простоя оборудования. система автоматически анализирует видеопотоки с камер наблюдения, регистрирует нарушения в области пб и тб, контролирует комплектность бригад и их численность в соответствии с заказ-нарядами.",до 100 млн.руб,pre-seed,False,https://vizorlabs.ru/,
biometric labs,transport & logistics,транспорт и логистика,,"разработчик акустических датчиков и систем обработки акустических сигналов на основе искусственного интеллекта для различных отраслей: промышленность, жкх, fintech, медицина, транспорт и другие. среди решений компании – системы голосовой биометрии, обнаружения утечек в трубопроводах, раннего диагностирования заболеваний легких и сердца, выявления неисправностей в автомобиле по звуку.",до 100 млн.руб,pre-seed,False,http://www.biometriclabs.ru/,
consyst smart service,transport & logistics,транспорт и логистика,,"разработчик умного сервиса прогноза поломки оборудования. использование системы машинного обучения позволяет рассчитать время и вероятность отказа и своевременно выполнить необходимые ремонтные работы. предотвратить поломку до отказа оборудования – это ключевая задача, на решение которой направлены основные усилия ремонтных подразделений. consyst smart service подскажет, что выйдет из строя, когда и по какой причине.",до 100 млн.руб,pre-seed,False,https://smartservice.cbgr.ru/,
дст-урал,transport & logistics,транспорт и логистика,,"сделал функционирующий робот-бульдозер и показал на выставке. у робота нет кабины, управлять работой бульдозера можно либо по радиоканалу со специального пульта, оснащённого парой джойстиков, либо с помощью беспилотной системы.в число преимуществ беспилотных бульдозеров в частности и беспилотной техники в целом входят:экономичность по отношению к топливу, которая достигается за счёт сокращения лишних «телодвижений»;повышение скорости работы;увеличение времени работы (роботизированной машине не нужно отдыхать, обедать или делать пересменок);возможность обслуживать сразу несколько единиц техники с помощью одного оператора.",до 100 млн.руб,pre-seed,False,,
проект 80,transport & logistics,транспорт и логистика,,"завод ""урал"" представил беспилотный грузовик. новинка построена на базе полноприводного шасси урал-432067–73 и способна преодолевать брод глубиной в 70 см. позади расположили грузовую платформу без бортов, на ней можно закрепить до 5 тонн груза.представленный образец выкрашен в два цвета: левая сторона в оранжевом, что символизирует эксплуатацию в гражданских целях. правая же сторона носит традиционный для транспорта минобороны тёмно-зелёный окрас.",до 100 млн.руб,pre-seed,False,,
